Blocked,Community List,Dynamic Link,Field of Interest (text),project photos,project description,Location,City,State,Country
,adjacent,,architecture,,testing project marketplace for developers to develop the project,,,,
,adjacent,,business  computer science  restaurants  cooking  food,,"introducing doorbellchef, where culinary innovation meets personalized experiences! our platform seamlessly connects skilled chefs with clients seeking unique dining events at home or chosen venues. chefs set their schedules and prices, empowering them to showcase their passion and earn competitively. clients enjoy complete customization, choosing from diverse chef profiles and menus, ensuring unforgettable dining experiences. doorbellchef disrupts the culinary scene by providing quality, flexibility, and an opportunity for chefs and clients to create culinary memories together.  think fiverr, but exclusively for private chefs. my mission is to empower individuals to take control of their lives and provide passionate workers in underpaid industries with opportunities.",switzerland,switzerland,,
,adjacent,,communication/media  design  marketing  ai/ml,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1709954709839x224011338983962850/ceemo-codesocial.png,"meet ceemo, your friendly automated cmo. are you dreaming of starting a business? give ceemo just 10 minutes or less and you'll get a beautifully meaningful brand and all the custom marketing assets you need to launch your dream! 

with ceemo's simple 5-step brand quiz, we generate beautiful, strategic brands built on your unique strategies. then we seamlessly apply your new fonts & colors across a full suite of marketing assets, including one-pagers, letterhead, social media templates, pitch decks, and more. plus as a ceemo subscriber, you'll have access to our top notch team of marketing experts who've helped founders just like you raise over $20 million in venture capital in the last two years alone! 

get started building your dream today, but don't go it alone! launch today and launch faster with ceemo, your friendly automated cmo.","washington, dc, usa",washington,dc,usa
,adjacent,,,,exercise machine for those with disabilities even for people who just have a hard time being active,,,,
,adjacent,,technology development  ai/ml  restaurants  business,,"barglance is a company that's pioneering the field of real-time nightlife technology.

the problem: have you ever been to a new city and not known where the best bar scene was? of course, we all have. you may have even experienced this in miami. that's because there's no easy way of knowing which locations are busy or what the crowd is like before you go out.

our solution: a one-stop shop for nightlife. barglance is an app that connects bar-goers with bars through real-time data. we use crowd heat maps, geolocation data, and user content to let 'glancers' bar hop virtually before they head out.

market opportunity: we've identified an unmet need in a sector with little direct competition. the u.s. bar and nightclub market size is $36b, and growing at a steady 2% annually. the global market is $468b and 3%, respectively.

traction and milestones:
userbase: since the launch of barglance 3.0 in aug 2023, we have garnered users from all 50 states and over 30 countries.

key partnerships: national beverage distributors, regional event management companies, and bar partnerships across the united states.

notable app metrics:
our user retention rates are 3x the industry average
1 in 5 bar profile views results in a user visiting that bar
every 3 minutes a barglance user is looking at a bar profiles

seed round funding: we have raised just over $600k of our initial $2m seed round. at present, we are securing funding to:

grow our user base: via social media advertising, content marketing, and expanding our brand ambassador program

build our team: including a full-stack developer, marketing lead, and sales support

given our market footprint, ip, and machine learning capabilities, we believe that barglance has the potential to be the go-to product in our vertical.","113 arsenal academy place, columbia, sc 29201, usa",113 arsenal academy place,columbia,usa
,adjacent,,community building  education  equitable development  information science,,"the ""building africa with blockchain"" project aims to harness the transformative power of blockchain technology to drive economic growth, foster innovation, and promote transparency across the african continent. through strategic partnerships with local governments, businesses, and ngos, this initiative will focus on implementing blockchain solutions in key sectors such as agriculture, healthcare, finance, and governance.","2315 airport rd, lugbe 900107, federal capital territory, nigeria",2315 airport rd,lugbe 900107,nigeria
,adjacent,,medicine/health  psychology  technology development  community building  computer science  education,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1711975244872x893250733658072600/img_0719.jpeg,"a startup to train and educate women on grooming and manipulation tactics. we have built out a massage database on manipulation tactics and have developed a novel psychological classification system. we are interested in developing products such as:
1) a robust prediction engine that can detect grooming behaviors before they turn into abuse
2) ai-based training modules to teach women and oppressed minorities how to respond effectively to covert aggression tactics in real time",,,,
,adjacent,,computer science,,"we build a new social media app, that focuses on personal development and ai. furthermore we want to have a positive impact on the world","14206 manifest way, north potomac, md 20878, usa",14206 manifest way,north potomac,usa
,adjacent,,agriculture  architecture  community building  medicine/health  urban planning,"//s3.amazonaws.com/appforest_uf/f1674251384508x757408510823091700/adjacent%20-%20community%20stand.png , //s3.amazonaws.com/appforest_uf/f1674251847520x666095342600506500/community%20garden%201.jpg , //s3.amazonaws.com/appforest_uf/f1674251861075x150661910454795040/community%20garden%202.png , //s3.amazonaws.com/appforest_uf/f1674251878274x665058587184514700/community%20garden%203.png","i want to look at how to make suburbs slowly more dense and community oriented to cut down on car trips.  my idea is to have a community center built around existing infrastructure in suburbs like pools that are being under utilized for most of the year. i envision this community center would be focused on agriculture, with local farmers and people in the community able to sell their fruit and vegetables. imagine like a continual, small scale farmers market. this place would have benches for people to sit, and would act as a ""third space"" for the community to gather that does not really exist for many communities.","ann arbor, mi, usa",ann arbor,mi,usa
,adjacent,,community building  equitable development  unions,"//s3.amazonaws.com/appforest_uf/f1674502506963x801938182879562400/joining%20a%20union%201.png , //s3.amazonaws.com/appforest_uf/f1674502626763x365019097673524560/joining%20a%20union%202.png , //s3.amazonaws.com/appforest_uf/f1674568066505x686485923308310300/joining%20a%20union%204.png","1. the abolishment of a minimum wage and in its place a federal living wage that is automatically adjusted to inflation so that we don’t need to spend years fighting for each adjustment.

2. work safety protocols for heat conditions and natural disasters.

3. medicare for all that includes mental health care services and dental.

4. one year of parental leave, that can be split between the man or woman, with the man (or other non-birthing parent) needing to take at least six weeks.

5. hour 1 benefits. there are so many jobs where you need to be there a year to be able to get parental leave, or you need to work there ninety days to get health insurance, or you only get benefits if you are full time. it is bullshit.

6. corporations pay a 1% retraining tax for a nationwide retraining program to help people that have lost their jobs, with an emphasis on providing jobs in sustainability and healthcare fields that will be needed to meet the country’s demands in the coming decades.

7. sick and vacation days must meet a cumulative minimum of 28 days a year for all fields.

8. 1% tax on corporations to set up a nationwide pension system that divides the nation’s gains evenly across everyone that reaches retirement. the age of retirement also needs to be automatically adjusted yearly based on the average u.s. life expectancy minus twelve years.

9. abolish non-competes.

10. to claim asylum you must apply and wait outside of the country until your hearing.","14206 manifest way, north potomac, md 20878, usa",14206 manifest way,north potomac,usa
,adjacent,https://adjacent.page.link/8wynyhyr82kj8bmu9,community building  economics  equitable development  technology development,"//s3.amazonaws.com/appforest_uf/f1674576565180x841603348105122200/helping%20the%20neighborhood.png , //s3.amazonaws.com/appforest_uf/f1674578621172x800632276360015500/dall%c2%b7e%202023-01-24%2011.34.38%20-%20young%20man%20cleaning%20up%20trash%20in%20an%20urban%20neighborhood%20digital%20art.png , //s3.amazonaws.com/appforest_uf/f1674579159977x917631566075767900/planting%20a%20tree.png , //s3.amazonaws.com/appforest_uf/f1674579310134x369686069697663600/creating%20a%20mural.png","""there is work to be done all around me but no jobs""

i'm from the bronx and have seen the impact of gentrification and disinvestment in my community. i've also seen a lot of people that really care about the neighborhood and put in work into fixing things that aren't counted in the capitalist paradigm. i want to create an app where anyone in the community can generate a ""job to be done"" and then others can pick up the job, do it, and get reviewed. this would be small things like picking up garbage, helping fix a gate, planting a tree, and then that person can get discounts on food in the neighborhood as well as ""points"" and ""badges"" to put on their neighborhood resume. the money to pay for these discounts will come from advertisers, but i want to make sure these advertisers are only from the local community.","the bronx, ny, usa",the bronx,ny,usa
,adjacent,,astronomy  business  economics  technology development,"//s3.amazonaws.com/appforest_uf/f1677184003427x481984303306794750/apple%20screenshot%205%275%202.jpg , //s3.amazonaws.com/appforest_uf/f1678291537040x117333040421085060/tim%20-%20stock%20portfolio.png , //s3.amazonaws.com/appforest_uf/f1678299179960x210994064067362200/tim%20-%20stock%20brokers.png","i'm really cynical and i think in our current system, it is pretty much impossible to stop politicians from investing in the very things they regulate. so normal people should use this to their advantage and be able to profit as well. i want to create an app that tracks what stocks politicians are investing in and allows normal people to also invest in these stocks.",,,,
,adjacent,,computer science  philosophy  psychology,,an app to gamify personal development,,,,
,adjacent,,community building,"//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1688390912419x101536563599699200/dall%c2%b7e%202023-07-03%2009.28.20%20-%20two%20guys%20sitting%20together%20on%20a%20log%20chatting%20with%20a%20campsite%20around%20them%2c%20digital%20art.png , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1688390976893x839955581584026200/dall%c2%b7e%202023-07-03%2009.29.27%20-%20a%20group%20of%20guys%20sitting%20in%20a%20circle%20talking%20about%20their%20emotions%2c%20surrounded%20by%20trees%2c%20digital%20art.png , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1688390912419x101536563599699200/dall%c2%b7e%202023-07-03%2009.28.20%20-%20two%20guys%20sitting%20together%20on%20a%20log%20chatting%20with%20a%20campsite%20around%20them%2c%20digital%20art.png?q=75 , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1688390976893x839955581584026200/dall%c2%b7e%202023-07-03%2009.29.27%20-%20a%20group%20of%20guys%20sitting%20in%20a%20circle%20talking%20about%20their%20emotions%2c%20surrounded%20by%20trees%2c%20digital%20art.png?fit=crop&q=75","i never really learned how to clean, cook, or take care of my finances and as i've gone through life i found a lot of guys also don't know this stuff. i'd love to create a ""finishing school"" for guys that want to learn. none of this incel stuff---this isn't being angry at women. i want to build a space for men to learn how to take care of themselves. 

i'm thinking this would take the form of an overnight three week ""camp"" where we'd have paintball, but also classes that teach things like how to make a healthy meal, how to dress yourself in a way that fits your body, how to understand a 401k vs a roth ira.",,,,
,adjacent,,,"//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1688056004924x862364661051653300/img_0028.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1688056230042x674806573366839600/img_0029.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1688056651638x537028361656959550/img_0030.jpeg","rodents are a scourge upon our cities, our neighborhoods, and our wellbeing. no more! i am forming an army of rat-catching kittens that will put an end to this once and for all.

trained by the same seals that developed the us navy seals program, our battalion of special forces kittens will hunt down and destroy rats on land, sea, and air.",,,,
,adjacent,,medicine/health,,"i would like to create legacy videos for the elderly while they are still healthy enough to be videotaped and share their life story with their children, then burn the videos to cds or flash drives for their familiy to keep forever and play back as often as they’d like","2523 livingston rd sw, roanoke, va 24015, usa",2523 livingston rd sw,roanoke,usa
,adjacent,,art  environmental science,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1688839909391x664298507282401500/screenshot%202023-07-08%20at%2011.11.38%20am.png?q=75,"i want to upcycle items like recyclables or things found at a thrift market to give them new life and use. ideally i would like to create items that have daily uses like clocks, shelves, mirrors.

i want to do this to transition from a consumer mindset to a creator.",,,,
,adjacent,,,,"i'd like to build a seamless integrated healthcare application that shows me all doctor's portals, all my past exams across health systems, my varying insurance policies over the years, claims and payment in one system. it's a single source for all things health over time aggregated by each individual",,,,
,adjacent,,design,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1689522179407x920960996281397600/634de2bc-d28e-41b0-aed8-4ab630df9293.jpeg,"i’d like to create an online platform where folks can give away (or maybe sell for a small amount of $)  excess landscaping materials (e.g. dirt, mulch, rocks, etc.).

sometimes folks (me!) order too much material for their landscaping project, and the excess just sits around for years (or goes unused).",,,,
,adjacent,,art  biology  community building  equitable development  performing arts  sustainability  urban planning  visual arts,"//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1689778044489x902995947174617200/img_0130.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1689778051706x522882798940498050/img_0131.jpeg",to create a creative network in gulf of mexico region to address challenges faced by the region after the oil spill.,,,,
,adjacent,,chemistry  civil engineering,"//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1700116727757x794963063325967500/e97e2348-61b6-448a-b4ae-2dcf7948f690.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1700116716924x378210094081547840/0363a0b9-6651-47d3-a640-d185e274b410.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1700116750758x610284712525063000/d1d090b1-02e1-49b5-bf84-5f17fec06e58.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1700116666907x870266007497720200/6753ec57-9b5e-4110-b42b-ce697ec2c104.jpeg",i wish to create an agency that solves client’s software development problem.,"x9m9+x3c, lugbe 900107, federal capital territory, nigeria",x9m9+x3c,lugbe 900107,nigeria
,adjacent,https://adjacent.page.link/rtnfdzp6c3jvdzfp9,art & music,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1717597661854x640927858282031000/untitled-1.png,caribeat! is an app aimed at the caribbean region's music & art market. it's a one stop shop to caribbean artistry and community!,"29 cedar st, foxborough, ma 02035, usa",29 cedar st,foxborough,usa
,adjacent,,medicine/health,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1714923395432x798547469418967200/img_3747.png,"petnote is a startup that is geared towards pet owners, vets, and animal shelters. petnote is a mobile app (currently in development) that allows users to track and record their pets’ daily activities, feeding routines, grooming, and more!","12201 long lake dr, owings mills, md 21117, usa",12201 long lake dr,owings mills,usa
,adjacent,,community building  biology  chemistry,,an etextbook platform that features hyperbooks with interactive elements. targeting developing countries where education tech is still lagging behind but definitely developing.,"v2mg+mj letlhakeng, botswana",v2mg+mj letlhakeng,botswana,botswana
,adjacent,,business,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1715469740641x137170791229572540/img_5293.jpeg,a way to review and read other reviews of landlords. it is meant for renters.,"4155 n kenmore ave, chicago, il 60613, usa",4155 n kenmore ave,chicago,usa
,adjacent,,,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1715445314689x821177815177193600/image.jpg,i want to make a mobile app where i can gather and compile statistics on manga chapters,,,,
,adjacent,,,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1715814420940x259561383908777600/transparent-05.png,"pagepaloozaw is your go-to platform for creating a professional and scalable website in under 10 minutes. whether you're an entrepreneur, a small business owner, or a creative professional, we empower you with all the tools you need to establish a compelling online presence. in addition to our intuitive website builder, pagepalooza offers the unique advantage of assigning a software engineer to meet custom design requirements or backend integrations tailored to your needs.

our comprehensive suite of products includes not only website creation but also powerful tools for e-commerce. with pagepalooza, you can seamlessly manage your online presence, build and engage your audience, and scale your business efficiently.

for more information about pagepalooza check out our process (https://pagepalooza.com/our-process) and our work (https://pagepalooza.com/our-work) for more information.",,,,
,adjacent,,,,,"3448 christopher ct, windsor mill, md 21244, usa",3448 christopher ct,windsor mill,usa
,adjacent,,,,,"1948 sunset dr, hanover park, il 60133, usa",1948 sunset dr,hanover park,usa
,adjacent,,ai/ml  software   tech  mechanical engineering  electrical engineering,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1717292235095x229249053793503000/img_1989.jpeg,ai software that generates requirements and automates system design with model based systems engineering. the software allows users to upload a large amount of data including meeting notes and technical documents that the ai can search through to find relevant information to generate requirements and design information.,"1901 ridgemont ln, decatur, ga 30033, usa",1901 ridgemont ln,decatur,usa
,adjacent,,outsourcing  offshoring  business development,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1717900266729x543258555302605700/fb%20profile%20picture%20%281%29%20%281%29.png,"striveup is an offshoring/outsoucing agency that aims to help startups with their growth.  we revolutionize offshoring/outsourcing with our unique operational process and strategic team building. unlike other bpos/offshoring partners, we pay our talents almost double the industry allowing us to attract highly-motivated and experienced talents suited for startup operations.

services:
lead generation & appointment setting
customer service & success
outbound sales & cold calling
virtual / executive assistants.
business development
website & funnel design

secure a better runway while getting the help and flexibility you need to scale your startup.  start striving with us now!","sm foodcourt sm southmall, almanza uno, las pinas city, c2j5+x62, almanza uno, las piñas, metro manila, philippines",sm foodcourt sm southmall,almanza uno,philippines
,adjacent,https://adjacent.page.link/eunwyv8dsvasy5zr7,community building  sustainability,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1718212799891x747569555834951200/img_7371.png,"hello! female founder and proudly latina. 
bereworn is a platform that connects a community for sustainability, focused on slow fashion. think, eventbrite + meetup but for sustainable fashion.","150 state st, detroit, mi 48226, usa",150 state st,detroit,usa
,adjacent,,fintech,,an ai guided financial tool to enable people to become financially independent quickly by using their checking account and their credit score.,"527 los pinos ave, milpitas, ca 95035, usa",527 los pinos ave,milpitas,usa
,adjacent,,,,,"1716 laurelwood dr, san jose, ca 95125, usa",1716 laurelwood dr,san jose,usa
,adjacent,,business  community building  communication/media  design,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1718565465077x227213934871406850/homegenius%20adjacent.jpeg,"i am currently working on innovative projects that leverage my expertise in digital marketing and graphic design. these projects focus on developing cutting-edge user experiences, creating compelling brand identities, and implementing strategic visual solutions. my work aims to drive growth and engagement in the technology and digital solutions sectors.","6201 w 115th st, alsip, il 60803, usa",6201 w 115th st,alsip,usa
,adjacent,,,,,"4424 meadow dr, racine, wi 53402, usa",4424 meadow dr,racine,usa
,adjacent,,,,,"1a dare olawale st, ikotun, lagos 102213, lagos, nigeria",1a dare olawale st,ikotun,nigeria
,adjacent,,,,,"noordmolenwerf 104, 3011 dj rotterdam, netherlands",noordmolenwerf 104,3011 dj rotterdam,netherlands
,adjacent,,,,,"300 rodgers blvd, honolulu, hi 96819, usa",300 rodgers blvd,honolulu,usa
,adjacent,,,,,"galaxy mall, 7000 jfk blvd e suite m19, guttenberg, nj 07093, usa",galaxy mall,7000 jfk blvd e suite m19,usa
,adjacent,,,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1721980823350x668139209676320100/1000003858.png,"i am a business developer for a new marketplace called shoply – decentralized commerce. our platform is pioneering a unique concept: uniting the interests of vendors, business developers, team-builders, influencers, and customers all in one place. often, we find ourselves taking on multiple roles simultaneously. (see video below) 

shoply marketplace aims to revolutionize decentralized commerce with a business model that challenges giants like amazon, google, facebook, and tiktok.","paris, france",paris,france,france
,adjacent,,,,,"w4h5+3rr, haridwar, jwalapur, uttarakhand 249407, india",w4h5+3rr,haridwar,india
,adjacent,,,,,"14202 manifest way, north potomac, md 20878, usa",14202 manifest way,north potomac,usa
,adjacent,,communication/media  future building,,an all purpose social network with a generous revenue split for creators,"new york, ny, usa",new york,ny,usa
,adjacent,,community building  user experience,,mobile rage cage for corporate events and fairs. go and smash things!!!,,,,
,adjacent,https://adjacent.page.link/hamapjr8skzryfvv5,,,a resume management platform that uses natural language querying to find talent!,"1225 geddes ave, ann arbor, mi 48109, usa",1225 geddes ave,ann arbor,usa
,adjacent,,,,,"c3mh+g2 padre hurtado, chile",c3mh+g2 padre hurtado,chile,chile
,wellfound conference,,agriculture  civil engineering,,"alert glwjaer gkaejr gkjaer gjaer gkaer gk,aer g,aer gae/er glare g","70 prince st, flushing, ny 11354, usa",70 prince st,flushing,usa
,adjacent,,,,,"95 newbury st, boston, ma 02116, usa",95 newbury st,boston,usa
,adjacent,,,,,"los angeles, ca, usa",los angeles,ca,usa
,adjacent,,,,,"p8ww+xm2, j p laurel, digos city, davao del sur, philippines",p8ww+xm2,j p laurel,philippines
,adjacent,,data science,,"the idea is not simple, my vision is to create a tool to help manufacturers make products much faster and cheaper.","1608 denesa dr, austin, tx 78725, usa",1608 denesa dr,austin,usa
,adjacent,,fintech,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1730880811197x201745413746246660/memotion%20logo%20square.jpeg,"memotion is a leading ai platform for employer-funded benefits, featuring our innovative ""unwellness"" program to secure data and roi. we empower self-insured us employers to measure, predict, and optimize health benefits costs while delivering high-quality, results-driven programs for all employees.","61 rue de créqui, 69006 lyon, france",61 rue de créqui,69006 lyon,france
,adjacent,,online rental  restaurants  world peace,,asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd  asd,,,,
,adjacent,,therapy  world peace,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1730928469875x641391264995144300/screenshot%202024-11-06%20at%204.23.26%e2%80%afpm.png,"i want to create a mobile app that helps women in red states connect to women in blue states to go camping. if this increases their access to abortions, that would be a nice side effect.","14202 manifest way, north potomac, md 20878, usa",14202 manifest way,north potomac,usa
,adjacent,,,,"with 20+ years of experience in my field, i have identified an opportunity to disrupt the market for a specific business function. the leading software application in the space has seen little improvement and virtually no changes in the user interface in 20 years. this is not just my opinion but the consensus of colleagues that i’ve asked over the years. i have created a conceptual design of the features and functionality, but i am not a software developer. i am seeking one or more individuals interested in working for equity to bring this solution to market.","grand haven, mi 49417, usa",grand haven,mi 49417,usa
,adjacent,,,,"hello everyone!

i’m working on an exciting project in edtech called learnmate that’s focused on making learning more personal and effective for students and teachers. i’m looking for someone with technical skills to help me bring a better learning solution to our education system.

if this sounds interesting to you please send me a message!","471 n prairie st, whitewater, wi 53190, usa",471 n prairie st,whitewater,usa
